,id,show,episode_title,air_date,rating,number_of_ratings,episode_number,season,imdb_episode_id,sizing
137,2795,Seinfeld,The Limo,1992-02-26,9.0,2254,36,3,tt0697722,14.198244253407175
136,2796,Seinfeld,The Good Samaritan,1992-03-04,8.1,1463,37,3,tt0697704,9.215630586838818
135,2797,Seinfeld,The Letter,1992-03-25,8.1,1438,38,3,tt0697720,9.058152278793042
134,2798,Seinfeld,The Parking Space,1992-04-22,8.4,1538,39,3,tt0697748,9.688065510976147
133,2799,Seinfeld,The Keys,1992-05-06,8.5,1502,40,3,tt0697717,9.461296747390229
132,2800,Seinfeld,The Trip: Part 1,1992-08-12,8.3,1513,41,4,tt0697799,9.53058720293037
131,2801,Seinfeld,The Trip: Part 2,1992-08-19,8.5,1526,42,4,tt0697800,9.612475923114175
130,2802,Seinfeld,The Pitch,1992-09-16,8.8,1548,43,4,tt0697755,9.751056834194458
129,2803,Seinfeld,The Ticket,1992-09-16,8.5,1400,44,4,tt0697798,8.818785250563462
128,2804,Seinfeld,The Wallet,1992-09-23,8.2,1392,45,4,tt0697808,8.768392191988815
127,2805,Seinfeld,The Watch,1992-09-30,8.2,1382,46,4,tt0697809,8.705400868770504
126,2806,Seinfeld,The Bubble Boy,1992-10-07,8.9,2201,47,4,tt0697662,13.86439024035013
125,2807,Seinfeld,The Cheever Letters,1992-10-28,8.6,1534,48,4,tt0697673,9.662868981688822
124,2808,Seinfeld,The Opera,1992-11-04,8.3,1509,49,4,tt0697743,9.505390673643046
123,2809,Seinfeld,The Virgin,1992-11-11,8.3,1433,50,4,tt0697804,9.026656617183887
122,2810,Seinfeld,The Contest,1992-11-18,9.6,4139,51,4,tt0697679,26.07210868005869
121,2811,Seinfeld,The Airport,1992-11-25,9.0,2081,52,4,tt0697647,13.108494361730404
120,2812,Seinfeld,The Pick,1992-12-16,8.6,1557,53,4,tt0697752,9.807749025090937
119,2813,Seinfeld,The Movie,1993-01-06,8.3,1452,54,4,tt0697735,9.146340131298677
118,2814,Seinfeld,The Visa,1993-01-27,8.3,1372,55,4,tt0697805,8.642409545552193
117,2815,Seinfeld,The Shoes,1993-02-04,8.4,1432,56,4,tt0697775,9.020357484862057
116,2816,Seinfeld,The Outing,1993-02-11,9.4,2763,57,4,tt0697745,17.404502605219175
115,2817,Seinfeld,The Old Man,1993-02-18,8.2,1489,58,4,tt0697742,9.379408027206425
114,2818,Seinfeld,The Implant,1993-02-25,8.7,1557,59,4,tt0697711,9.807749025090937
113,2819,Seinfeld,The Junior Mint,1993-03-17,8.9,1962,60,4,tt0697715,12.35889761543251
112,2820,Seinfeld,The Smelly Car,1993-04-15,8.6,1506,61,4,tt0697778,9.486493276677553
111,2821,Seinfeld,The Handicap Spot,1993-05-13,8.5,1387,62,4,tt0697708,8.736896530379658
110,2822,Seinfeld,The Pilot,1993-05-20,8.8,1605,63,4,tt0697754,10.110107376538826
109,2823,Seinfeld,The Mango,1993-09-16,8.7,1579,64,5,tt0697728,9.94632993617122
108,2824,Seinfeld,The Puffy Shirt,1993-09-23,9.0,2126,65,5,tt0697762,13.391955316212801
107,2825,Seinfeld,The Glasses,1993-09-30,8.5,1450,66,5,tt0697703,9.133741866655015
106,2826,Seinfeld,The Sniffing Accountant,1993-10-07,8.3,1419,67,5,tt0697779,8.938468764678252
105,2827,Seinfeld,The Bris,1993-10-14,8.2,1511,68,5,tt0697661,9.51798893828671
104,2828,Seinfeld,The Lip Reader,1993-10-28,8.6,1440,69,5,tt0697723,9.070750543436704
103,2829,Seinfeld,The Non-Fat Yogurt,1993-11-04,8.6,1691,70,5,tt0697739,10.651832756216297
102,2830,Seinfeld,The Barber,1993-11-11,8.4,1445,71,5,tt0697653,9.10224620504586
101,2831,Seinfeld,The Masseuse,1993-11-18,8.0,1337,72,5,tt0697730,8.421939914288107
100,2832,Seinfeld,The Cigar Store Indian,1993-12-09,8.5,1531,73,5,tt0697677,9.64397158472333
99,2833,Seinfeld,The Conversion,1993-12-16,8.3,1356,74,5,tt0697680,8.541623428402897
98,2834,Seinfeld,The Stall,1994-01-06,8.7,1558,75,5,tt0697785,9.814048157412769
97,2835,Seinfeld,The Dinner Party,1994-02-03,8.4,1371,76,5,tt0697684,8.636110413230362
96,2836,Seinfeld,The Marine Biologist,1994-02-10,9.3,2583,77,5,tt0697729,16.27065878728959
95,2837,Seinfeld,The Pie,1994-02-17,8.6,1432,78,5,tt0697753,9.020357484862057
94,2838,Seinfeld,The Stand-In,1994-02-24,7.9,1332,79,5,tt0697786,8.390444252678952
93,2839,Seinfeld,The Wife,1994-03-17,8.2,1327,80,5,tt0697810,8.358948591069796
92,2840,Seinfeld,The Raincoats,1994-04-28,8.6,1378,81,5,tt0697764,8.68020433948318
91,2841,Seinfeld,The Fire,1994-05-05,8.8,1555,82,5,tt0697697,9.795150760447275
90,2842,Seinfeld,The Hamptons,1994-05-12,9.1,2170,83,5,tt0697707,13.669117138373368
89,2843,Seinfeld,The Opposite,1994-05-19,9.6,2973,84,5,tt0697744,18.727320392803698
88,2844,Seinfeld,The Chaperone,1994-09-22,8.2,1344,85,6,tt0697671,8.466033840540923
87,2845,Seinfeld,The Big Salad,1994-09-29,8.3,1380,86,6,tt0697656,8.692802604126841
86,2846,Seinfeld,The Pledge Drive,1994-10-06,8.4,1337,87,6,tt0697756,8.421939914288107
85,2847,Seinfeld,The Chinese Woman,1994-10-13,8.3,1317,88,6,tt0697676,8.295957267851486
84,2848,Seinfeld,The Couch,1994-10-27,8.3,1305,89,6,tt0697681,8.220367679989513
83,2849,Seinfeld,The Gymnast,1994-11-03,8.4,1348,90,6,tt0697706,8.491230369828248
82,2850,Seinfeld,The Soup,1994-11-10,8.3,1316,91,6,tt0697781,8.289658135529654
81,2851,Seinfeld,The Mom and Pop Store,1994-11-17,8.2,1271,92,6,tt0697733,8.006197181047257
80,2852,Seinfeld,The Secretary,1994-12-08,8.2,1251,93,6,tt0697772,7.880214534610637
79,2853,Seinfeld,The Race,1994-12-15,9.0,2039,94,6,tt0697763,12.8439308042135
78,2854,Seinfeld,The Switch,1995-01-05,9.0,1947,95,6,tt0697796,12.264410630605045
77,2855,Seinfeld,The Label Maker,1995-01-19,8.7,1326,96,6,tt0697719,8.352649458747965
76,2856,Seinfeld,The Scofflaw,1995-01-26,8.3,1243,97,6,tt0697770,7.829821476035988
75,2857,Seinfeld,Highlights of a Hundred,1995-02-02,7.3,1346,98,6,tt0697644,8.478632105184586
74,2858,Seinfeld,The Beard,1995-02-09,8.4,1254,99,6,tt0697654,7.8991119315761305
73,2859,Seinfeld,The Kiss Hello,1995-02-16,8.4,1237,100,6,tt0697718,7.792026682105002
72,2860,Seinfeld,The Doorman,1995-02-23,8.5,1315,101,6,tt0697689,8.283359003207824
71,2861,Seinfeld,The Jimmy,1995-03-16,9.0,2022,102,6,tt0697714,12.736845554742374
70,2862,Seinfeld,The Doodle,1995-04-06,8.5,1222,103,6,tt0697688,7.697539697277537
